n,m,algorithm,density,order,trial,match_size,opt_size,cr,time_ns,seed
8192,16384,greedy,extremely_sparse,random,0,6209,6877,0.9028646212011051,1410455,2445016791
8192,16384,ranking,extremely_sparse,random,0,6226,6877,0.9053366293441908,2756866,2445016791
8192,16384,hopcroft_karp,extremely_sparse,random,0,6877,6877,1.0,84031696,2445016791
8192,16384,greedy,extremely_sparse,random,1,6206,6839,0.9074426085685041,1713737,2083434083
8192,16384,ranking,extremely_sparse,random,1,6207,6839,0.9075888287761369,3130133,2083434083
8192,16384,hopcroft_karp,extremely_sparse,random,1,6839,6839,1.0,84478569,2083434083
8192,16384,greedy,extremely_sparse,random,2,6251,6884,0.908047646717025,1383760,4099587436
8192,16384,ranking,extremely_sparse,random,2,6257,6884,0.9089192330040674,2808673,4099587436
8192,16384,hopcroft_karp,extremely_sparse,random,2,6884,6884,1.0,76986501,4099587436
8192,16384,greedy,extremely_sparse,random,3,6261,6880,0.9100290697674419,1452495,2018056108
8192,16384,ranking,extremely_sparse,random,3,6248,6880,0.9081395348837209,3130682,2018056108
8192,16384,hopcroft_karp,extremely_sparse,random,3,6880,6880,1.0,83788698,2018056108
8192,16384,greedy,extremely_sparse,random,4,6257,6876,0.909976730657359,1370628,2627776420
8192,16384,ranking,extremely_sparse,random,4,6260,6876,0.910413030831879,2656750,2627776420
8192,16384,hopcroft_karp,extremely_sparse,random,4,6876,6876,1.0,63047801,2627776420
8192,16384,greedy,extremely_sparse,random,5,6239,6856,0.9100058343057176,1969198,141405127
8192,16384,ranking,extremely_sparse,random,5,6206,6856,0.9051925320886814,2738217,141405127
8192,16384,hopcroft_karp,extremely_sparse,random,5,6856,6856,1.0,115716402,141405127
8192,16384,greedy,extremely_sparse,random,6,6253,6867,0.910586864715305,1490996,4072974954
8192,16384,ranking,extremely_sparse,random,6,6275,6867,0.9137905926896752,2741516,4072974954
8192,16384,hopcroft_karp,extremely_sparse,random,6,6867,6867,1.0,77885246,4072974954
8192,16384,greedy,extremely_sparse,random,7,6262,6946,0.9015260581629715,1613056,149423065
8192,16384,ranking,extremely_sparse,random,7,6288,6946,0.9052692196947884,2965458,149423065
8192,16384,hopcroft_karp,extremely_sparse,random,7,6946,6946,1.0,70770639,149423065
8192,16384,greedy,extremely_sparse,random,8,6219,6887,0.9030056628430376,2030146,3297530989
8192,16384,ranking,extremely_sparse,random,8,6256,6887,0.908378103673588,2698078,3297530989
8192,16384,hopcroft_karp,extremely_sparse,random,8,6887,6887,1.0,82455001,3297530989
8192,16384,greedy,extremely_sparse,random,9,6201,6848,0.9055198598130841,1417208,2078901795
