n,m,algorithm,density,order,trial,match_size,opt_size,cr,time_ns,is_valid,seed
8192,16384,greedy,extremely_sparse,random,0,6247,6881,0.9078622293271327,1287918,True,71338703
8192,16384,ranking,extremely_sparse,random,0,6228,6881,0.9051010027612265,3442833,True,71338703
8192,16384,hopcroft_karp,extremely_sparse,random,0,6881,6881,1.0,58334209,True,71338703
8192,16384,greedy,extremely_sparse,random,1,6243,6857,0.9104564678430801,1364839,True,674419100
8192,16384,ranking,extremely_sparse,random,1,6231,6857,0.9087064313839872,2591869,True,674419100
8192,16384,hopcroft_karp,extremely_sparse,random,1,6857,6857,1.0,60264456,True,674419100
8192,16384,greedy,extremely_sparse,random,2,6261,6890,0.9087082728592163,1329240,True,4148456848
8192,16384,ranking,extremely_sparse,random,2,6255,6890,0.9078374455732946,2518371,True,4148456848
8192,16384,hopcroft_karp,extremely_sparse,random,2,6890,6890,1.0,77703783,True,4148456848
8192,16384,greedy,extremely_sparse,random,3,6233,6858,0.9088655584718577,1373529,True,836558640
8192,16384,ranking,extremely_sparse,random,3,6229,6858,0.9082822980460775,2618939,True,836558640
8192,16384,hopcroft_karp,extremely_sparse,random,3,6858,6858,1.0,73171733,True,836558640
8192,16384,greedy,extremely_sparse,random,4,6263,6878,0.9105844722302995,1372091,True,391864496
8192,16384,ranking,extremely_sparse,random,4,6239,6878,0.9070950857807503,2710256,True,391864496
8192,16384,hopcroft_karp,extremely_sparse,random,4,6878,6878,1.0,76055274,True,391864496
8192,16384,greedy,extremely_sparse,random,5,6259,6862,0.9121247449723113,1384975,True,1439511242
8192,16384,ranking,extremely_sparse,random,5,6231,6862,0.9080443019527834,2712456,True,1439511242
8192,16384,hopcroft_karp,extremely_sparse,random,5,6862,6862,1.0,65154743,True,1439511242
8192,16384,greedy,extremely_sparse,random,6,6245,6856,0.9108809801633606,1440258,True,3073809900
8192,16384,ranking,extremely_sparse,random,6,6238,6856,0.9098599766627772,2809340,True,3073809900
8192,16384,hopcroft_karp,extremely_sparse,random,6,6856,6856,1.0,90538489,True,3073809900
8192,16384,greedy,extremely_sparse,random,7,6188,6837,0.9050753254351324,1723083,True,1725946935
8192,16384,ranking,extremely_sparse,random,7,6218,6837,0.9094632148603189,2760899,True,1725946935
8192,16384,hopcroft_karp,extremely_sparse,random,7,6837,6837,1.0,65008429,True,1725946935
8192,16384,greedy,extremely_sparse,random,8,6211,6815,0.9113719735876743,1372370,True,1588435658
8192,16384,ranking,extremely_sparse,random,8,6223,6815,0.9131327953044754,2608353,True,1588435658
8192,16384,hopcroft_karp,extremely_sparse,random,8,6815,6815,1.0,73100693,True,1588435658
8192,16384,greedy,extremely_sparse,random,9,6134,6802,0.9017935901205528,1392035,True,4053814436
8192,16384,ranking,extremely_sparse,random,9,6192,6802,0.910320493972361,2749524,True,4053814436
8192,16384,hopcroft_karp,extremely_sparse,random,9,6802,6802,1.0,72780506,True,4053814436
8192,16384,greedy,extremely_sparse,random,10,6243,6856,0.9105892648774796,1476019,True,887021047
8192,16384,ranking,extremely_sparse,random,10,6199,6856,0.904171528588098,2609606,True,887021047
8192,16384,hopcroft_karp,extremely_sparse,random,10,6856,6856,1.0,69890279,True,887021047
8192,16384,greedy,extremely_sparse,random,11,6225,6838,0.9103539046504826,1417861,True,906222932
8192,16384,ranking,extremely_sparse,random,11,6231,6838,0.9112313541971336,2604509,True,906222932
8192,16384,hopcroft_karp,extremely_sparse,random,11,6838,6838,1.0,54414917,True,906222932
8192,16384,greedy,extremely_sparse,random,12,6249,6876,0.9088132635253054,1393386,True,3807845179
8192,16384,ranking,extremely_sparse,random,12,6211,6876,0.9032867946480512,2610176,True,3807845179
8192,16384,hopcroft_karp,extremely_sparse,random,12,6876,6876,1.0,61235416,True,3807845179
8192,16384,greedy,extremely_sparse,random,13,6256,6887,0.908378103673588,1490114,True,2870139275
8192,16384,ranking,extremely_sparse,random,13,6243,6887,0.9064904893277189,2593616,True,2870139275
8192,16384,hopcroft_karp,extremely_sparse,random,13,6887,6887,1.0,61251147,True,2870139275
8192,16384,greedy,extremely_sparse,random,14,6229,6867,0.9070918887432649,1388504,True,1894117997
8192,16384,ranking,extremely_sparse,random,14,6227,6867,0.9068006407455949,2594533,True,1894117997
8192,16384,hopcroft_karp,extremely_sparse,random,14,6867,6867,1.0,61712679,True,1894117997
