n,m,algorithm,density,order,trial,match_size,opt_size,cr,time_ns,is_valid,seed
1024,6144,greedy,sparse,random,0,931,1021,0.9118511263467189,386235,True,622359307
1024,6144,ranking,sparse,random,0,908,1021,0.8893241919686582,782132,True,622359307
1024,6144,hopcroft_karp,sparse,random,0,1021,1021,1.0,10799999,True,622359307
1024,6144,greedy,sparse,random,1,917,1022,0.8972602739726028,178471,True,3674065932
1024,6144,ranking,sparse,random,1,925,1022,0.9050880626223092,467830,True,3674065932
1024,6144,hopcroft_karp,sparse,random,1,1022,1022,1.0,13296897,True,3674065932
1024,6144,greedy,sparse,random,2,908,1021,0.8893241919686582,182825,True,2021043130
1024,6144,ranking,sparse,random,2,927,1021,0.9079333986287953,468714,True,2021043130
1024,6144,hopcroft_karp,sparse,random,2,1021,1021,1.0,14332526,True,2021043130
1024,6144,greedy,sparse,random,3,924,1022,0.9041095890410958,196850,True,1307270370
1024,6144,ranking,sparse,random,3,925,1022,0.9050880626223092,503947,True,1307270370
1024,6144,hopcroft_karp,sparse,random,3,1022,1022,1.0,14087824,True,1307270370
1024,6144,greedy,sparse,random,4,929,1023,0.9081133919843597,196365,True,1257495419
1024,6144,ranking,sparse,random,4,920,1023,0.8993157380254154,494680,True,1257495419
1024,6144,hopcroft_karp,sparse,random,4,1023,1023,1.0,11198519,True,1257495419
2048,14336,greedy,sparse,random,0,1886,2048,0.9208984375,403199,True,3141159933
2048,14336,ranking,sparse,random,0,1875,2048,0.91552734375,1106830,True,3141159933
2048,14336,hopcroft_karp,sparse,random,0,2048,2048,1.0,26679583,True,3141159933
2048,14336,greedy,sparse,random,1,1871,2048,0.91357421875,399258,True,3014200944
2048,14336,ranking,sparse,random,1,1870,2048,0.9130859375,1122642,True,3014200944
2048,14336,hopcroft_karp,sparse,random,1,2048,2048,1.0,25683393,True,3014200944
2048,14336,greedy,sparse,random,2,1867,2046,0.9125122189638318,413523,True,3181109206
2048,14336,ranking,sparse,random,2,1870,2046,0.9139784946236559,1131362,True,3181109206
2048,14336,hopcroft_karp,sparse,random,2,2046,2046,1.0,31443040,True,3181109206
2048,14336,greedy,sparse,random,3,1857,2047,0.907181240840254,424847,True,4212558965
2048,14336,ranking,sparse,random,3,1858,2047,0.9076697606253054,1164051,True,4212558965
2048,14336,hopcroft_karp,sparse,random,3,2047,2047,1.0,26247899,True,4212558965
2048,14336,greedy,sparse,random,4,1859,2047,0.9081582804103566,491123,True,2335061363
2048,14336,ranking,sparse,random,4,1870,2047,0.9135319980459209,1183027,True,2335061363
2048,14336,hopcroft_karp,sparse,random,4,2047,2047,1.0,25574151,True,2335061363
4096,32768,greedy,sparse,random,0,3785,4093,0.9247495724407525,870422,True,520620539
4096,32768,ranking,sparse,random,0,3782,4093,0.9240166137307598,2761124,True,520620539
4096,32768,hopcroft_karp,sparse,random,0,4093,4093,1.0,70818267,True,520620539
4096,32768,greedy,sparse,random,1,3773,4093,0.9218177376007818,1021771,True,1663164583
4096,32768,ranking,sparse,random,1,3782,4093,0.9240166137307598,2657497,True,1663164583
4096,32768,hopcroft_karp,sparse,random,1,4093,4093,1.0,61331444,True,1663164583
4096,32768,greedy,sparse,random,2,3771,4093,0.9213290984607867,948699,True,2705597059
4096,32768,ranking,sparse,random,2,3786,4093,0.9249938920107501,2626172,True,2705597059
4096,32768,hopcroft_karp,sparse,random,2,4093,4093,1.0,73936297,True,2705597059
4096,32768,greedy,sparse,random,3,3785,4096,0.924072265625,875222,True,2173161313
4096,32768,ranking,sparse,random,3,3774,4096,0.92138671875,2584063,True,2173161313
4096,32768,hopcroft_karp,sparse,random,3,4096,4096,1.0,48217337,True,2173161313
4096,32768,greedy,sparse,random,4,3769,4095,0.9203907203907203,920756,True,3694234457
4096,32768,ranking,sparse,random,4,3759,4095,0.9179487179487179,2592568,True,3694234457
4096,32768,hopcroft_karp,sparse,random,4,4095,4095,1.0,60059608,True,3694234457
